model,train_MAE,test_MAE,train_RMSE,test_RMSE,train_R2,test_R2,train_MAPE,test_MAPE
LightGBM_slow,16.837130546721465,36.86355283535599,25.29248588681944,56.25794613373516,0.9769044381370423,0.933156002860757,0.3479254976396173,0.3822211682729476
CatBoost_slow,19.15453277812477,37.366381600777096,28.97675626972424,56.630806393230195,0.9696858751348614,0.9322670239924701,0.3846573822288203,0.4331408468618339
LightGBM_regularized,18.996209350796935,38.05571590164824,28.752809519922074,57.31593955980434,0.9701526296784365,0.930618210300504,0.39671548214829283,0.46787291463757913
CatBoost_base,20.034517275403278,38.3704070468985,30.276554555481553,57.83802086993108,0.9669053035442194,0.9293484793922459,0.40769003202829224,0.45540166451454567
LightGBM_base,17.803527786666606,38.28551476661665,26.959233722563667,57.95774724904639,0.9737601959747193,0.9290556752593566,0.36441391265443435,0.41237288205966816
CatBoost_regularized,23.04826905378629,40.8880267194925,34.65218232718099,60.887799201773845,0.9566482452494456,0.9217011795498443,0.5154571313987637,0.4737975039116957
