model,train_MAE,test_MAE,train_RMSE,test_RMSE,train_R2,test_R2,train_MAPE,test_MAPE
CatBoost,20.034517275403278,38.3704070468985,30.276554555481553,57.83802086993108,0.9669053035442194,0.9293484793922459,0.40769003202829224,0.45540166451454567
LightGBM,17.803527786666606,38.28551476661665,26.959233722563667,57.95774724904639,0.9737601959747193,0.9290556752593566,0.36441391265443435,0.41237288205966816
RandomForest,8.359315887233778,45.71106253370647,13.801418882847667,70.89663855499933,0.9931230958073636,0.8938436555790223,0.11073759970050581,0.2630277381581533
Ridge,85.19153301802544,124.74808130240919,116.96620852921122,164.96139494955332,0.5060689542656527,0.4252760347054717,2.747332822024172,2.8583539758127703
LinearRegression,85.19418995764245,124.75909714570575,116.96618230840602,164.97485093120451,0.5060691757188134,0.42518226985163365,2.7479425065430516,2.858220141724526
DummyRegressor,130.71516840780623,176.5815359086333,166.42832805751277,233.93218601811785,0.0,-0.15577853500033467,7.972491845146002,3.9886922048651527
